Date,Max Temp,Min Temp,Avg Temp,Temp Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
9/1/2020,85,53,69,3.8,0,4,0,0,0
9/2/2020,87,60,73.5,8.6,0,9,0,0,0
9/3/2020,88,56,72,7.4,0,7,0,0,0
9/4/2020,94,60,77,12.7,0,12,0,0,0
9/5/2020,89,62,75.5,11.5,0,11,0,0,0
9/6/2020,90,59,74.5,10.8,0,10,0,0,0
9/7/2020,74,52,63,-0.3,2,0,0,0,0
9/8/2020,69,44,56.5,-6.5,8,0,0,0,0
9/9/2020,80,49,64.5,1.9,0,0,0,0,0
9/10/2020,86,53,69.5,7.2,0,5,0,0,0
9/11/2020,85,54,69.5,7.5,0,5,0,0,0
9/12/2020,79,55,67,5.4,0,2,0,0,0
9/13/2020,67,51,59,-2.2,6,0,0,0,0
9/14/2020,73,53,63,2.1,2,0,0,0,0
9/15/2020,79,51,65,4.5,0,0,0,0,0
9/16/2020,76,54,65,4.9,0,0,0,0,0
9/17/2020,77,51,64,4.2,1,0,0,0,0
9/18/2020,74,50,62,2.6,3,0,0,0,0
9/19/2020,67,53,60,1,5,0,T,0,0
9/20/2020,72,51,61.5,2.9,3,0,T,0,0
9/21/2020,75,48,61.5,3.3,3,0,0,0,0
9/22/2020,73,53,63,5.2,2,0,0,0,0
9/23/2020,74,56,65,7.6,0,0,0.17,0,0
9/24/2020,66,51,58.5,1.5,6,0,0.01,0,0
9/25/2020,61,45,53,-3.6,12,0,0.15,0,0
9/26/2020,64,40,52,-4.1,13,0,0,0,0
9/27/2020,65,39,52,-3.7,13,0,0,0,0
9/28/2020,73,42,57.5,2.2,7,0,0,0,0
9/29/2020,79,47,63,8.1,2,0,0,0,0
9/30/2020,80,50,65,10.6,0,0,0,0,0
10/1/2020,73,51,62,8,3,0,0,0,0
10/2/2020,77,53,65,11.4,0,0,0,0,0
10/3/2020,78,52,65,11.9,0,0,0,0,0
10/4/2020,76,48,62,9.3,3,0,0,0,0
10/5/2020,75,48,61.5,9.3,3,0,0,0,0
10/6/2020,79,52,65.5,13.7,0,1,0,0,0
10/7/2020,82,52,67,15.6,0,2,0,0,0
10/8/2020,74,50,62,11.1,3,0,0,0,0
10/9/2020,72,50,61,10.5,4,0,0,0,0
10/10/2020,62,42,52,1.9,13,0,0.34,0,0
10/11/2020,54,41,47.5,-2.1,17,0,0.27,0,0
10/12/2020,59,44,51.5,2.3,13,0,T,0,0
10/13/2020,60,43,51.5,2.7,13,0,0.24,0,0
10/14/2020,55,37,46,-2.3,19,0,T,0,0
10/15/2020,55,32,43.5,-4.4,21,0,0,0,0
10/16/2020,62,44,53,5.5,12,0,0,0,0
10/17/2020,58,46,52,4.9,13,0,0,0,0
10/18/2020,51,41,46,-0.7,19,0,0.07,0,0
10/19/2020,59,40,49.5,3.3,15,0,0,0,0
10/20/2020,54,34,44,-1.8,21,0,0,0,0
10/21/2020,48,29,38.5,-6.9,26,0,T,0,0
10/22/2020,44,28,36,-9,29,0,0,0,0
10/23/2020,33,26,29.5,-15.1,35,0,0.73,6.9,6
10/24/2020,32,17,24.5,-19.7,40,0,0.01,0.6,7
10/25/2020,31,13,22,-21.9,43,0,0,0,4
10/26/2020,32,14,23,-20.5,42,0,0,0,4
10/27/2020,41,20,30.5,-12.6,34,0,0,0,2
10/28/2020,50,31,40.5,-2.2,24,0,0,0,2
10/29/2020,59,37,48,5.7,17,0,0,0,0
10/30/2020,57,35,46,4.1,19,0,T,0,0
10/31/2020,52,31,41.5,-0.1,23,0,0,0,0
